version,created,submitted,insertions,deletions,loc_change,total_comment_count,link,time_in_review,patches,conductor,rollbacks,rollbacks_time,group0_delay_days,group1_delay_days,group2_delay_days,train_total_time
1.36.0-wmf.10,2020-09-15 04:29:49,2020-09-15 18:33:52,1,1,2,2,"https://gerrit.wikimedia.org/r/#/q/a605a8bc,n,z",50643.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-17 06:28:44,2020-09-21 11:04:51,6,2,8,3,"https://gerrit.wikimedia.org/r/#/q/fd79785c,n,z",362167.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-20 17:41:21,2020-09-20 18:31:47,1,0,1,2,"https://gerrit.wikimedia.org/r/#/q/4fcc8e65,n,z",3026.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-17 09:55:05,2020-09-17 11:05:01,20,2,22,2,"https://gerrit.wikimedia.org/r/#/q/b7f75120,n,z",4196.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-15 11:06:36,2020-09-15 13:43:10,3,0,3,3,"https://gerrit.wikimedia.org/r/#/q/fc4f7004,n,z",9394.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-08-17 16:32:17,2020-09-15 13:43:07,16781,342,17123,8,"https://gerrit.wikimedia.org/r/#/q/2c00a9a8,n,z",2495450.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-08-30 08:58:39,2020-09-15 11:57:01,118,16,134,12,"https://gerrit.wikimedia.org/r/#/q/baf12e1a,n,z",1393102.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-18 23:19:47,2020-09-19 07:11:17,469,94,563,2,"https://gerrit.wikimedia.org/r/#/q/c71a1405,n,z",28290.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-18 18:05:30,2020-09-18 18:49:44,4,4,8,1,"https://gerrit.wikimedia.org/r/#/q/f825c055,n,z",2654.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-08-31 08:39:25,2020-09-17 08:53:43,15,1,16,1,"https://gerrit.wikimedia.org/r/#/q/d3b07d2e,n,z",1469658.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-07 15:26:00,2020-09-16 05:20:07,20,2,22,7,"https://gerrit.wikimedia.org/r/#/q/99937ba1,n,z",741247.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-15 12:09:14,2020-09-15 13:26:04,0,2,2,1,"https://gerrit.wikimedia.org/r/#/q/c7caa09b,n,z",4610.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-19 21:41:35,2020-09-20 18:09:06,30,15,45,3,"https://gerrit.wikimedia.org/r/#/q/8060eb74,n,z",73651.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-19 17:08:59,2020-09-20 12:51:35,2,2,4,2,"https://gerrit.wikimedia.org/r/#/q/5e2a37f4,n,z",70956.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-19 21:41:35,2020-09-20 12:51:33,12,16,28,2,"https://gerrit.wikimedia.org/r/#/q/412132e7,n,z",54598.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-19 17:14:56,2020-09-19 18:43:56,2,3,5,3,"https://gerrit.wikimedia.org/r/#/q/4ad28000,n,z",5340.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-17 21:52:40,2020-09-17 22:12:53,1,1,2,1,"https://gerrit.wikimedia.org/r/#/q/adf97402,n,z",1213.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-17 16:52:32,2020-09-18 16:52:11,7,1,8,1,"https://gerrit.wikimedia.org/r/#/q/29efc96c,n,z",86379.0,381,Ahmon Dancy,1,108,0,0,4,1809157
1.36.0-wmf.10,2020-09-15 21:28:12,2020-09-16 19:56:41,8,7,15,3,"https://gerrit.wikimedia.org/r/#/q/7a61992f,n,z",80909.0,381,Ahmon Dancy,1,108,0,0,4,1809157
